iteration,lik
0,-18.701160256536554
1,-29.225316808958247
2,-39.69732541137708
3,-50.0342933918955
4,-60.170208901791774
5,-70.09349287611641
6,-79.81732107405686
7,-89.36212340769684
8,-98.74732966749035
9,-107.98801112583297
10,-117.09398307974112
11,-126.0701385585901
12,-134.91738337914651
13,-143.63382033155852
14,-152.21595596854576
15,-160.65977100573545
16,-168.96155217620847
17,-177.11844334917444
18,-185.1287293475456
19,-192.99190449329308
20,-200.70859370614008
21,-208.2803905894065
22,-215.70966281664522
23,-222.9993582765839
24,-230.15283075930142
25,-237.17369332422777
26,-244.06570079785777
27,-250.83265920952613
28,-257.4783583728315
29,-264.0065234292778
30,-270.4207814134651
31,-276.72463941767603
32,-282.9214715259142
33,-289.014512251062
34,-295.00685470024865
35,-300.9014521009051
36,-306.7011216471814
37,-312.40854988371626
38,-318.0262990432395
39,-323.55681390761214
40,-329.00242887862447
41,-334.3653750333841
42,-339.647787005995
43,-344.8517095875686
44,-349.97910397438403
45,-355.0318536222332
46,-360.01176968594666
47,-364.9205960385154
48,-369.76001387542533
49,-374.531645917779
50,-379.237060233257
51,-383.8777736975396
52,-388.455255120911
53,-392.9709280657601
54,-397.42617338083767
55,-401.8223314776588
56,-406.16070437351806
57,-410.4425575243629
58,-414.6691214693546
59,-418.841593307433
60,-422.9611380246422
61,-427.0288896894581
62,-431.0459525318649
63,-435.01340192055693
64,-438.9322852513251
65,-442.8036227585094
66,-446.6284082602972
67,-450.40760984765853
68,-454.14217052580403
69,-457.8330088162266
70,-461.4810193266275
71,-465.0870732953341
72,-468.6520191161518
73,-472.17668284898156
74,-475.6618687209411
75,-479.10835962215714
76,-482.5169175998409
77,-485.8882843537216
78,-489.2231817353768
79,-492.5223122534785
80,-495.78635958646504
81,-499.015989103645
82,-502.2118483952602
83,-505.37456781156897
84,-508.50476101056245
85,-511.6030255135185
86,-514.6699432672093
87,-517.7060812112308
88,-520.7119918486158
89,-523.6882138176334
90,-526.6352724624611
91,-529.5536804002531
92,-532.4439380820329
93,-535.3065343447668
94,-538.1419469519966
95,-540.9506431204547
96,-543.733080030195
97,-546.4897053159307
98,-549.2209575374687
99,-551.9272666273632
100,-554.6090543141837
101,-557.2667345200811
102,-559.9007137316454
103,-562.5113913433722
104,-565.0991599733668
105,-567.6644057512378
106,-570.207508578438
107,-572.7288423615892
108,-575.2287752196011
109,-577.707669665629
110,-580.1658827651191
111,-582.6037662713758
112,-585.0216667402188
113,-587.4199256254129
114,-589.7988793566267
115,-592.1588594017219
116,-594.5001923151905
117,-596.8231997745434
118,-599.1281986064131
119,-601.415500804083
120,-603.6854135380673
121,-605.938239161285
122,-608.1742752102557
123,-610.3938144036401
124,-612.5971446393289
125,-614.7845489911545
126,-616.9563057061858
127,-619.1126882034423
128,-621.2539650747362
129,-623.3804000882556
130,-625.4922521953707
131,-627.5897755410645
132,-629.673219478279
133,-631.742828586388
134,-633.7988426939339
135,-635.8414969056794
136,-637.8710216339842
137,-639.887642634441
138,-641.891581045673
139,-643.8830534331473
140,-645.8622718368277
141,-647.8294438224633
142,-649.7847725362849
143,-651.7284567628728
144,-653.6606909859364
145,-655.5816654517486
146,-657.4915662349711
147,-659.390575306605
148,-661.2788706038024
149,-663.1566261012855
150,-665.0240118841192
151,-666.8811942215971
152,-668.7283356420057
153,-670.5655950080481
154,-672.393127592714
155,-674.2110851553996
156,-676.0196160180917
157,-677.8188651414409
158,-679.608974200566
159,-681.3900816604406
160,-683.162322850727
161,-684.9258300399316
162,-686.6807325087747
163,-688.4271566226694
164,-690.1652259032243
165,-691.8950610986872
166,-693.6167802532623
167,-695.3304987752404
168,-697.0363295038901
169,-698.7343827750672
170,-700.4247664855058
171,-702.1075861557615
172,-703.7829449917886
173,-705.4509439451281
174,-707.1116817717028
175,-708.7652550892094
176,-710.4117584331063
177,-712.0512843112056
178,-713.6839232568677
179,-715.3097638808168
180,-716.9288929215849
181,-718.5413952946027
182,-720.1473541399557
183,-721.7468508688245
184,-723.3399652086318
185,-724.9267752469219
186,-726.507357473992
187,-728.0817868243086
188,-729.6501367167294
189,-731.2124790935612
190,-732.7688844584831
191,-734.319421913358
192,-735.8641591939686
193,-737.4031627047008
194,-738.9364975522027
195,-740.4642275780543
196,-741.9864153904679
197,-743.5031223950556
198,-745.0144088246836
199,-746.520333768448